代码,名称,行业,板块,交易所,样本数,硬异常数,软异常数,通过清洗数,特征缺失偏高数,平均特征缺失率,硬异常率,软异常率
002444,巨星科技,通用设备,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
002906,华阳集团,汽车零部件,深市主板,深交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600036,招商银行,银行Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600038,中直股份,航空装备Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600160,巨化股份,化学制品,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600298,安琪酵母,调味发酵品Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600316,洪都航空,航空装备Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600426,华鲁恒升,农化制品,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600460,士兰微,半导体,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
600976,健民集团,中药Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
601601,中国太保,保险Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
601628,中国人寿,保险Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
603005,晶方科技,半导体,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
603288,海天味业,调味发酵品Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
603658,安图生物,医疗器械,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
603860,中公高科,工程咨询服务Ⅱ,沪市主板,上交所,261,0,0,261,4,0.015698587127158554,0.0,0.0
920110,雷特科技,其他电源设备Ⅱ,北交所,北交所,260,0,0,260,4,0.015698587127158554,0.0,0.0
920026,卓兆点胶,专用设备,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920047,诺思兰德,生物制品,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920060,万源通,元件,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920111,聚星科技,电网设备,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920239,长虹能源,电池,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920570,坤博精工,通用设备,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920592,华信永道,软件开发,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920640,富士达,通信设备,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920693,阿为特,通用设备,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920779,武汉蓝电,电池,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920799,艾融软件,软件开发,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920953,国子软件,IT服务Ⅱ,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920971,天马新材,非金属材料Ⅱ,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
920976,视声智能,计算机设备,北交所,北交所,260,0,0,260,4,0.015620094191522764,0.0,0.0
