交易所,板块,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,振幅,时间戳,行业,原始代码,数据源
上交所,沪市主板,600685,中船防务,30.71,-0.4399999999999977,-1.4125200642054503,31.15,31.18,31.84,30.41,18894640.0,588115226.0,4.590690208667736,2026-05-15 15:00:01,航海装备Ⅱ,sh600685,sina_snapshot
上交所,沪市主板,600699,均胜电子,30.37,1.1900000000000013,4.078135709389998,29.18,29.31,30.53,28.72,107211780.0,3209958118.0,6.202878684030166,2026-05-15 15:00:01,汽车零部件,sh600699,sina_snapshot
上交所,沪市主板,600779,水井坊,31.62,-0.9599999999999973,-2.946593001841612,32.58,32.5,32.5,31.47,3532495.0,112417695.0,3.1614487415592425,2026-05-15 15:00:03,白酒Ⅱ,sh600779,sina_snapshot
上交所,沪市主板,600885,宏发股份,30.9,-0.6799999999999997,-2.153261557948068,31.58,31.5,31.95,30.65,17075073.0,532473570.0,4.116529449018368,2026-05-15 15:00:01,电网设备,sh600885,sina_snapshot
上交所,沪市主板,600895,张江高科,34.82,-0.759999999999998,-2.136031478358623,35.58,35.58,36.88,34.57,58056878.0,2064574886.0,6.492411467116364,2026-05-15 15:00:03,房地产开发,sh600895,sina_snapshot
上交所,沪市主板,600938,中国海油,36.51,0.44999999999999574,1.247920133111469,36.06,36.09,36.67,35.65,43335029.0,1571830327.0,2.828618968386032,2026-05-15 15:00:01,油气开采Ⅱ,sh600938,sina_snapshot
上交所,沪市主板,600976,健民集团,30.74,-0.7700000000000031,-2.44366867661061,31.51,31.35,31.58,30.63,1776750.0,55203185.0,3.0149158997143743,2026-05-15 15:00:03,中药Ⅱ,sh600976,sina_snapshot
上交所,沪市主板,601069,西部黄金,29.79,-2.1700000000000017,-6.789737171464336,31.96,31.16,31.38,29.51,26977546.0,812418934.0,5.8510638297872255,2026-05-15 15:00:03,贵金属,sh601069,sina_snapshot
上交所,沪市主板,601168,西部矿业,30.48,-1.4400000000000013,-4.5112781954887256,31.92,31.58,31.58,30.0,73523688.0,2265648504.0,4.949874686716786,2026-05-15 15:00:03,工业金属,sh601168,sina_snapshot
上交所,沪市主板,601601,中国太保,34.54,-0.6400000000000006,-1.81921546333144,35.18,35.27,35.35,34.41,38443988.0,1340444665.0,2.671972711768064,2026-05-15 15:00:03,保险Ⅱ,sh601601,sina_snapshot
上交所,沪市主板,601606,长城军工,38.14,0.14000000000000057,0.3684210526315805,38.0,37.8,38.95,37.78,14149834.0,541328402.0,3.078947368421057,2026-05-15 15:00:04,地面兵装Ⅱ,sh601606,sina_snapshot
上交所,沪市主板,601628,中国人寿,35.36,-0.6300000000000026,-1.7504862461795012,35.99,35.98,36.25,35.12,30459127.0,1085146475.0,3.1397610447346556,2026-05-15 15:00:03,保险Ⅱ,sh601628,sina_snapshot
上交所,沪市主板,601698,中国卫通,35.09,-0.6099999999999994,-1.7086834733893541,35.7,35.68,36.06,34.51,64603431.0,2276279137.0,4.341736694677882,2026-05-15 15:00:03,航天装备Ⅱ,sh601698,sina_snapshot
